animal_id,section_id,region_name,area_pixels,file_path
M776,s041,VISrl,2270000,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s041_VISrl.pkl
M776,s042,RSPagl,561000,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s042_RSPagl.pkl
M776,s042,RSPd,1221820,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s042_RSPd.pkl
M776,s042,RSPv,3744120,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s042_RSPv.pkl
M776,s042,VISal,1433920,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s042_VISal.pkl
M776,s042,VISp,4141160,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s042_VISp.pkl
M776,s042,VISpm,954600,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s042_VISpm.pkl
M776,s042,VISrl,552000,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s042_VISrl.pkl
M776,s043,RSPagl,742400,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s043_RSPagl.pkl
M776,s043,RSPd,1373720,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s043_RSPd.pkl
M776,s043,RSPv,3576820,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s043_RSPv.pkl
M776,s043,VISal,1569340,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s043_VISal.pkl
M776,s043,VISl,488800,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s043_VISl.pkl
M776,s043,VISp,4099520,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s043_VISp.pkl
M776,s043,VISpm,1379900,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s043_VISpm.pkl
M776,s044,RSPagl,661160,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s044_RSPagl.pkl
M776,s044,RSPd,1205020,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s044_RSPd.pkl
M776,s044,RSPv,2467860,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s044_RSPv.pkl
M776,s044,VISl,1387200,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s044_VISl.pkl
M776,s044,VISli,595680,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s044_VISli.pkl
M776,s044,VISp,4810000,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s044_VISp.pkl
M776,s044,VISpm,1001200,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s044_VISpm.pkl
M776,s045,RSPagl,572800,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s045_RSPagl.pkl
M776,s045,RSPd,967680,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s045_RSPd.pkl
M776,s045,RSPv,2142920,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s045_RSPv.pkl
M776,s045,VISl,1560000,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s045_VISl.pkl
M776,s045,VISli,696880,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s045_VISli.pkl
M776,s045,VISp,5090800,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s045_VISp.pkl
M776,s045,VISpm,722000,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s045_VISpm.pkl
M776,s046,RSPagl,489200,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s046_RSPagl.pkl
M776,s046,RSPd,761660,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s046_RSPd.pkl
M776,s046,RSPv,1360220,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s046_RSPv.pkl
M776,s046,VISl,1733200,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s046_VISl.pkl
M776,s046,VISli,799200,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s046_VISli.pkl
M776,s046,VISp,5459840,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s046_VISp.pkl
M776,s046,VISpm,431200,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s046_VISpm.pkl
M776,s047,RSPagl,572800,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s047_RSPagl.pkl
M776,s047,RSPd,968880,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s047_RSPd.pkl
M776,s047,RSPv,1770220,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s047_RSPv.pkl
M776,s047,VISl,1619900,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s047_VISl.pkl
M776,s047,VISli,631140,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s047_VISli.pkl
M776,s047,VISp,4681900,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s047_VISp.pkl
M776,s047,VISpm,531200,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s047_VISpm.pkl
M776,s048,RSPagl,723600,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s048_RSPagl.pkl
